country,iso_2,indicator,subject,measure,frequency,year,avg_wage_usd
AUS,AU,AVWAGE,TOT,USD,A,2016,53724.08916
AUS,AU,AVWAGE,TOT,USD,A,2017,53437.05875
AUS,AU,AVWAGE,TOT,USD,A,2018,53514.82722
AUS,AU,AVWAGE,TOT,USD,A,2019,54020.79149
AUS,AU,AVWAGE,TOT,USD,A,2020,55206.39366
AUT,,AVWAGE,TOT,USD,A,2016,53169.97786
AUT,,AVWAGE,TOT,USD,A,2017,53136.35296
AUT,,AVWAGE,TOT,USD,A,2018,53325.48602
AUT,,AVWAGE,TOT,USD,A,2019,53690.03138
AUT,,AVWAGE,TOT,USD,A,2020,53131.84726
BEL,,AVWAGE,TOT,USD,A,2016,55525.98994
BEL,,AVWAGE,TOT,USD,A,2017,55130.18197
BEL,,AVWAGE,TOT,USD,A,2018,55387.6953
BEL,,AVWAGE,TOT,USD,A,2019,56021.80535
BEL,,AVWAGE,TOT,USD,A,2020,54326.59817
CAN,CA,AVWAGE,TOT,USD,A,2016,52019.45589
CAN,CA,AVWAGE,TOT,USD,A,2017,52765.06913
CAN,CA,AVWAGE,TOT,USD,A,2018,53730.1079
CAN,CA,AVWAGE,TOT,USD,A,2019,54119.30987
CAN,CA,AVWAGE,TOT,USD,A,2020,55342.0429
CZE,,AVWAGE,TOT,USD,A,2016,26574.90583
CZE,,AVWAGE,TOT,USD,A,2017,27930.69036
CZE,,AVWAGE,TOT,USD,A,2018,29420.90813
CZE,,AVWAGE,TOT,USD,A,2019,30354.84871
CZE,,AVWAGE,TOT,USD,A,2020,29884.58882
DNK,,AVWAGE,TOT,USD,A,2016,57043.39034
DNK,,AVWAGE,TOT,USD,A,2017,57355.11516
DNK,,AVWAGE,TOT,USD,A,2018,57794.20472
DNK,,AVWAGE,TOT,USD,A,2019,57967.31395
DNK,,AVWAGE,TOT,USD,A,2020,58429.65214
FIN,,AVWAGE,TOT,USD,A,2016,45588.35826
FIN,,AVWAGE,TOT,USD,A,2017,45338.75649
FIN,,AVWAGE,TOT,USD,A,2018,45770.84227
FIN,,AVWAGE,TOT,USD,A,2019,46248.57625
FIN,,AVWAGE,TOT,USD,A,2020,46229.5702
FRA,,AVWAGE,TOT,USD,A,2016,46214.25704
FRA,,AVWAGE,TOT,USD,A,2017,46852.35298
FRA,,AVWAGE,TOT,USD,A,2018,46866.52002
FRA,,AVWAGE,TOT,USD,A,2019,47112.38916
FRA,,AVWAGE,TOT,USD,A,2020,45580.70453
DEU,DE,AVWAGE,TOT,USD,A,2016,51901.81956
DEU,DE,AVWAGE,TOT,USD,A,2017,52454.14608
DEU,DE,AVWAGE,TOT,USD,A,2018,53220.54949
DEU,DE,AVWAGE,TOT,USD,A,2019,54041.35647
DEU,DE,AVWAGE,TOT,USD,A,2020,53744.9986
GRC,,AVWAGE,TOT,USD,A,2016,26267.59637
GRC,,AVWAGE,TOT,USD,A,2017,26418.33918
GRC,,AVWAGE,TOT,USD,A,2018,26680.28688
GRC,,AVWAGE,TOT,USD,A,2019,27010.03961
GRC,,AVWAGE,TOT,USD,A,2020,27207.32399
HUN,,AVWAGE,TOT,USD,A,2016,21061.80249
HUN,,AVWAGE,TOT,USD,A,2017,22586.13445
HUN,,AVWAGE,TOT,USD,A,2018,23720.56899
HUN,,AVWAGE,TOT,USD,A,2019,24470.79981
HUN,,AVWAGE,TOT,USD,A,2020,25408.61293
IRL,,AVWAGE,TOT,USD,A,2016,47811.68512
IRL,,AVWAGE,TOT,USD,A,2017,48375.91945
IRL,,AVWAGE,TOT,USD,A,2018,48586.23101
IRL,,AVWAGE,TOT,USD,A,2019,49509.02718
IRL,,AVWAGE,TOT,USD,A,2020,49473.55284
ITA,,AVWAGE,TOT,USD,A,2016,40192.93598
ITA,,AVWAGE,TOT,USD,A,2017,39933.77824
ITA,,AVWAGE,TOT,USD,A,2018,39984.83545
ITA,,AVWAGE,TOT,USD,A,2019,40145.07643
ITA,,AVWAGE,TOT,USD,A,2020,37769.09608
JPN,JP,AVWAGE,TOT,USD,A,2016,37810.38851
